ts,n_illicit,n_lab,prior,purity,n_pur
1,17,2147,0.007918025151374011,0.0,14
2,18,1117,0.01611459265890779,0.0,12
3,11,1279,0.008600469116497263,0.0,8
4,30,1440,0.020833333333333332,0.4666666666666667,15
5,8,1882,0.004250797024442083,0.0,3
6,5,485,0.010309278350515464,0.0,1
7,102,1203,0.08478802992518704,0.6544117647058824,34
8,67,1165,0.05751072961373391,0.5053763440860215,31
9,248,778,0.31876606683804626,0.2537313432835821,134
10,18,972,0.018518518518518517,0.375,12
11,131,696,0.1882183908045977,0.3018018018018018,74
12,16,506,0.03162055335968379,0.0,4
13,291,809,0.35970333745364647,0.24085365853658536,164
14,43,417,0.10311750599520383,0.2608695652173913,23
15,147,618,0.23786407766990292,0.5116279069767442,43
16,128,530,0.24150943396226415,0.6162790697674418,43
17,99,811,0.1220715166461159,0.2948717948717949,39
18,52,389,0.13367609254498714,0.47619047619047616,21
19,80,745,0.10738255033557047,0.4867924528301887,53
20,260,900,0.28888888888888886,0.4247311827956989,155
21,100,641,0.15600624024961,0.6590909090909091,44
22,158,1763,0.08961996596710153,0.47101449275362317,69
23,53,1187,0.04465037910699242,0.8421052631578947,38
24,137,1126,0.1216696269982238,0.8416666666666667,120
25,118,594,0.19865319865319866,0.4673913043478261,46
26,96,517,0.18568665377176016,0.7316384180790961,59
27,24,206,0.11650485436893204,0.0,10
28,85,284,0.2992957746478873,0.09848484848484848,22
29,329,1174,0.28023850085178875,0.8623188405797102,276
30,83,524,0.15839694656488548,0.4954954954954955,37
31,106,710,0.14929577464788732,0.8536585365853658,82
32,342,1323,0.2585034013605442,0.712962962962963,180
33,23,441,0.05215419501133787,0.2222222222222222,18
34,37,515,0.07184466019417475,0.6041666666666666,24
35,182,1341,0.13571961222967935,0.3771929824561403,76
36,33,1708,0.019320843091334895,0.0,15
37,40,498,0.08032128514056225,0.48,25
38,111,756,0.14682539682539683,0.27205882352941174,68
39,81,1183,0.06846999154691462,0.3125,56
40,112,1211,0.09248554913294797,0.447887323943662,71
41,116,1132,0.10247349823321555,0.46153846153846156,26
42,239,2154,0.11095636025998143,0.5819696969696969,110
43,24,1370,0.017518248175182483,0.6140350877192983,19
44,24,1591,0.01508485229415462,0.3,10
45,5,1221,0.004095004095004095,0.5,4
46,2,712,0.0028089887640449437,0.0,1
47,22,846,0.026004728132387706,0.7983333333333333,20
48,36,471,0.07643312101910828,0.0,23
49,56,476,0.11764705882352941,0.028846153846153848,52
